time,elapsed,host,local,round,x,y,z,trip,stun,mash,holding,shoeActive,shoeState,shoeX,shoeY,shoeZ,episode,ack,map,swimming,swimAnimation,floating,eyeY
38.1918,21.4734,0,2,1,-1.8000,0.0700,9.0000,0.0000,0.0000,10,1,1,1,-1.2768,0.9032,8.4267,5,0,3,0,0,0,1.4300
38.2424,21.5240,0,2,1,-1.8000,0.0700,9.0000,0.0000,0.0000,10,1,1,1,-1.2768,0.9032,8.4267,5,0,3,0,0,0,1.4300
38.2927,21.5743,0,2,1,-1.8000,0.0700,9.0000,0.0000,0.0000,10,1,1,1,-1.2768,0.9032,8.4267,5,0,3,0,0,0,1.4300
38.3430,21.6246,0,2,1,-1.8000,0.0700,9.0000,0.0000,0.0000,10,1,1,1,-1.2768,0.9032,8.4267,5,0,3,0,0,0,1.4300
38.3933,21.6749,0,2,1,-1.8000,0.0700,9.0000,0.0000,0.0000,10,1,1,1,-1.2768,0.9032,8.4267,5,0,3,0,0,0,1.4300
38.4437,21.7253,0,2,1,-1.8000,0.0700,9.0000,0.0000,0.0000,10,1,1,1,-1.2768,0.9032,8.4267,5,0,3,0,0,0,1.4300
38.4945,21.7762,0,2,1,-1.8000,0.0700,9.0000,0.0000,0.0000,10,1,1,1,-1.2768,0.9032,8.4267,5,0,3,0,0,0,1.4300
38.5447,21.8263,0,2,1,-1.8000,0.0700,9.0000,0.0000,0.0000,10,1,1,1,-1.2768,0.9032,8.4267,5,0,3,0,0,0,1.4300
38.5950,21.8766,0,2,1,-1.8000,0.0700,9.0000,0.0000,0.0000,10,1,1,1,-1.2768,0.9032,8.4267,5,0,3,0,0,0,1.4300
38.6451,21.9267,0,2,1,-1.8000,0.0700,9.0000,0.0000,0.0000,10,1,1,1,-1.2768,0.9032,8.4267,5,0,3,0,0,0,1.4300
38.6952,21.9768,0,2,1,-1.8000,0.0700,9.0000,0.0000,0.0000,10,1,1,1,-1.2768,0.9032,8.4267,5,0,3,0,0,0,1.4300
38.7456,22.0272,0,2,1,-1.8000,0.0700,9.0000,0.0000,0.0000,10,1,1,1,-1.2768,0.9032,8.4267,5,0,3,0,0,0,1.4300
38.7959,22.0775,0,2,1,-1.8000,0.0700,9.0000,0.0000,0.0000,10,1,1,1,-1.2768,0.9032,8.4267,5,0,3,0,0,0,1.4300
38.8462,22.1278,0,2,1,-1.8000,0.0700,9.0000,0.0000,0.0000,10,1,1,1,-1.2768,0.9032,8.4267,5,0,3,0,0,0,1.4300
38.8964,22.1780,0,2,1,-1.8000,0.0700,9.0000,0.0000,0.0000,10,1,1,1,-1.2768,0.9032,8.4267,5,0,3,0,0,0,1.4300
38.9471,22.2287,0,2,1,-1.8000,0.0700,9.0000,0.0000,0.0000,10,1,1,1,-1.2768,0.9032,8.4267,5,0,3,0,0,0,1.4300
38.9972,22.2788,0,2,1,-1.8000,0.0700,9.0000,0.0000,0.0000,10,1,1,1,-1.2768,0.9032,8.4267,5,0,3,0,0,0,1.4300
39.0477,22.3293,0,2,1,-1.8000,0.0700,9.0000,0.0000,0.0000,10,1,1,1,-1.2768,0.9032,8.4267,5,0,3,0,0,0,1.4300
39.0987,22.3803,0,2,1,-1.8000,0.0700,9.0000,0.0000,0.0000,10,1,1,1,-1.2768,0.9032,8.4267,5,0,3,0,0,0,1.4300
39.1495,22.4311,0,2,1,-1.8000,0.0700,9.0000,0.0000,0.0000,10,1,1,1,-1.2768,0.9032,8.4267,5,0,3,0,0,0,1.4300
39.2000,22.4816,0,2,1,-1.8000,0.0700,9.0000,0.0000,0.0000,10,1,1,1,-1.2768,0.9032,8.4267,5,0,3,0,0,0,1.4300
39.2510,22.5326,0,2,1,-1.8000,0.0700,9.0000,0.0000,0.0000,10,1,1,1,-1.2768,0.9032,8.4267,5,0,3,0,0,0,1.4300
39.3013,22.5829,0,2,1,-1.8000,0.0700,9.0000,0.0000,0.0000,10,1,1,1,-1.2768,0.9032,8.4267,5,0,3,0,0,0,1.4300
39.3519,22.6335,0,2,1,-1.8000,0.0700,9.0000,0.0000,0.0000,10,1,1,1,-1.2768,0.9032,8.4267,5,0,3,0,0,0,1.4300
39.4021,22.6837,0,2,1,-1.8000,0.0700,9.0000,0.0000,0.0000,10,1,1,1,-1.2768,0.9032,8.4267,5,0,3,0,0,0,1.4300
39.4524,22.7341,0,2,1,-1.8000,0.0700,9.0000,0.0000,0.0000,10,1,1,1,-1.2768,0.9032,8.4267,5,0,3,0,0,0,1.4300
39.5032,22.7848,0,2,1,-1.8000,0.0700,9.0000,0.0000,0.0000,10,1,1,1,-1.2768,0.9032,8.4267,5,0,3,0,0,0,1.4300
39.5535,22.8351,0,2,1,-1.8000,0.0700,9.0000,0.0000,0.0000,10,1,1,1,-1.2768,0.9032,8.4267,5,0,3,0,0,0,1.4300
39.6036,22.8852,0,2,1,-1.8000,0.0700,9.0000,0.0000,0.0000,10,1,1,1,-1.2768,0.9032,8.4267,5,0,3,0,0,0,1.4300
39.6540,22.9357,0,2,1,-1.8000,0.0700,9.0000,0.0000,0.0000,10,1,1,1,-1.2768,0.9032,8.4267,5,0,3,0,0,0,1.4300
39.7047,22.9863,0,2,1,-1.8000,0.0700,9.0000,0.0000,0.0000,10,1,1,1,-1.2768,0.9032,8.4267,5,0,3,0,0,0,1.4300
39.7560,23.0376,0,2,1,-1.8000,0.0700,9.0000,0.0000,0.0000,10,1,1,1,-1.2768,0.9032,8.4267,5,0,3,0,0,0,1.4300
39.8066,23.0882,0,2,1,-1.8000,0.0700,9.0000,0.0000,0.0000,10,1,1,1,-1.2768,0.9032,8.4267,5,0,3,0,0,0,1.4300
39.8573,23.1389,0,2,1,-1.8000,0.0700,9.0000,0.0000,0.0000,10,1,1,1,-1.2768,0.9032,8.4267,5,0,3,0,0,0,1.4300
39.9075,23.1891,0,2,1,-1.8000,0.0700,9.0000,0.0000,0.0000,10,1,1,1,-1.2768,0.9032,8.4267,5,0,3,0,0,0,1.4300
39.9583,23.2399,0,2,1,-1.8000,0.0700,9.0000,0.0000,0.0000,10,1,1,1,-1.2768,0.9032,8.4267,5,0,3,0,0,0,1.4300
40.0086,23.2902,0,2,1,-1.8000,0.0700,9.0000,0.0000,0.0000,10,1,1,1,-1.2768,0.9032,8.4267,5,0,3,0,0,0,1.4300
40.0590,23.3406,0,2,1,-1.8000,0.0700,9.0000,0.0000,0.0000,10,1,1,1,-1.2768,0.9032,8.4267,5,0,3,0,0,0,1.4300
