frame,real_seconds,art_scale,target_scale,dust_vertices,cloud_x,cloud_y
259,7.520800,1.000000,1.000000,377,9.799702,0.493988
260,7.564426,1.000000,1.000000,377,9.848145,0.496471
261,7.564692,1.000000,1.000000,377,9.851605,0.496648
262,7.608326,1.000000,1.000000,377,9.889688,0.498601
263,7.651541,1.000000,1.000000,377,9.941591,0.501263
264,7.651995,1.000000,1.000000,377,9.945048,0.501440
265,7.711313,1.000000,1.000000,377,9.983131,0.503394
266,7.771225,1.000000,1.000000,377,10.048830,0.506765
267,7.771776,1.000000,1.000000,377,10.052290,0.506942
268,7.820915,1.000000,1.000000,377,10.107570,0.509780
269,7.868553,1.000000,1.000000,377,10.159400,0.512441
270,7.868843,1.000000,1.000000,377,10.162850,0.512618
271,7.911993,1.000000,1.000000,377,10.207760,0.514925
272,7.956257,1.000000,1.000000,377,10.256040,0.517405
273,7.956566,1.000000,1.000000,377,10.259490,0.517582
274,8.000603,1.000000,1.000000,377,10.297460,0.519533
275,8.044027,1.000000,1.000000,377,10.345720,0.522014
276,8.044363,1.000000,1.000000,377,10.349160,0.522191
277,8.088158,1.000000,1.000000,377,10.387100,0.524141
278,8.132542,1.000000,1.000000,377,10.438780,0.526799
279,8.132828,1.000000,1.000000,377,10.442230,0.526976
280,8.176712,1.000000,1.000000,377,10.480140,0.528926
281,8.220325,1.000000,1.000000,377,10.528330,0.531406
282,8.220612,1.000000,1.000000,377,10.531760,0.531583
283,8.264130,1.000000,1.000000,377,10.569650,0.533533
284,8.308912,1.000000,1.000000,377,10.617790,0.536011
285,8.309483,1.000000,1.000000,377,10.621230,0.536188
286,8.355391,1.000000,1.000000,377,10.662510,0.538313
287,8.400679,1.000000,1.000000,377,10.714060,0.540969
288,8.400946,1.000000,1.000000,377,10.717500,0.541146
289,8.443447,1.000000,1.000000,377,10.755320,0.543095
290,8.487123,1.000000,1.000000,377,10.803380,0.545571
291,8.487389,1.000000,1.000000,377,10.806810,0.545748
292,8.531149,1.000000,1.000000,377,10.844610,0.547696
293,8.574839,1.000000,1.000000,377,10.892630,0.550172
294,8.575153,1.000000,1.000000,377,10.896050,0.550349
295,8.618589,1.000000,1.000000,377,10.937240,0.552473
296,8.662992,1.000000,1.000000,377,10.985240,0.554950
297,8.663261,1.000000,1.000000,377,10.988660,0.555126
298,8.709551,1.000000,1.000000,377,11.026380,0.557073
299,8.755457,1.000000,1.000000,377,11.077750,0.559724
300,8.755733,1.000000,1.000000,377,11.081170,0.559901
301,8.799011,1.000000,1.000000,377,11.122320,0.562025
302,8.843292,1.000000,1.000000,377,11.170190,0.564498
303,8.843555,1.000000,1.000000,377,11.173610,0.564675
304,8.887194,1.000000,1.000000,377,11.211270,0.566620
305,8.930593,1.000000,1.000000,377,11.259140,0.569094
306,8.930862,1.000000,1.000000,377,11.262550,0.569271
307,8.973591,1.000000,1.000000,377,11.300190,0.571216
308,9.017246,1.000000,1.000000,377,11.347990,0.573688
309,9.017519,1.000000,1.000000,377,11.351410,0.573864
310,9.060904,1.000000,1.000000,377,11.389020,0.575810
311,9.103886,1.000000,1.000000,377,11.436780,0.578280
312,9.104153,1.000000,1.000000,377,11.440190,0.578457
313,9.146589,1.000000,1.000000,377,11.477780,0.580402
314,9.189966,1.000000,1.000000,377,11.525500,0.582872
315,9.190218,1.000000,1.000000,377,11.528900,0.583049
316,9.233557,1.000000,1.000000,377,11.566430,0.584992
317,9.276470,1.000000,1.000000,377,11.614130,0.587462
318,9.276752,1.000000,1.000000,377,11.617530,0.587638
319,9.319378,1.000000,1.000000,377,11.655030,0.589581
320,9.363028,1.000000,1.000000,377,11.702680,0.592051
321,9.363316,1.000000,1.000000,377,11.706080,0.592227
322,9.406736,1.000000,1.000000,377,11.743540,0.594169
323,9.449753,1.000000,1.000000,377,11.791150,0.596638
324,9.450005,1.000000,1.000000,377,11.794550,0.596814
325,9.492990,1.000000,1.000000,377,11.831980,0.598755
326,9.537056,1.000000,1.000000,377,11.879550,0.601224
327,9.537329,1.000000,1.000000,377,11.882950,0.601400
328,9.580893,1.000000,1.000000,377,11.920340,0.603341
329,9.624197,1.000000,1.000000,377,11.967860,0.605808
330,9.624466,1.000000,1.000000,377,11.971250,0.605984
331,9.667244,1.000000,1.000000,377,12.008610,0.607924
332,9.711052,1.000000,1.000000,377,12.056100,0.610391
333,9.711323,1.000000,1.000000,377,12.059490,0.610567
334,9.754959,1.000000,1.000000,377,12.096800,0.612506
335,9.798233,1.000000,1.000000,377,12.147640,0.615148
336,9.798498,1.000000,1.000000,377,12.151020,0.615324
337,9.841846,1.000000,1.000000,377,12.188280,0.617261
338,9.886181,1.000000,1.000000,377,12.235700,0.619727
339,9.886465,1.000000,1.000000,377,12.239080,0.619903
340,9.930021,1.000000,1.000000,377,12.276320,0.621841
341,9.973303,1.000000,1.000000,377,12.323680,0.624306
342,9.973568,1.000000,1.000000,377,12.327060,0.624481
343,10.018990,1.000000,1.000000,377,12.364270,0.626418
344,10.065200,1.000000,1.000000,377,12.414960,0.629058
345,10.065470,1.000000,1.000000,377,12.418340,0.629234
346,10.109070,1.000000,1.000000,377,12.458880,0.631346
347,10.152330,1.000000,1.000000,377,12.506150,0.633809
348,10.152600,1.000000,1.000000,377,12.509520,0.633985
349,10.195520,1.000000,1.000000,377,12.546670,0.635921
350,10.239470,1.000000,1.000000,377,12.593880,0.638383
351,10.239740,1.000000,1.000000,377,12.597250,0.638558
352,10.283560,1.000000,1.000000,377,12.634350,0.640493
353,10.327230,1.000000,1.000000,377,12.681530,0.642955
354,10.327500,1.000000,1.000000,377,12.684890,0.643131
355,10.370690,1.000000,1.000000,377,12.721990,0.645067
356,10.414970,1.000000,1.000000,377,12.769080,0.647525
357,10.415260,1.000000,1.000000,377,12.772440,0.647700
358,10.459040,1.000000,1.000000,377,12.812810,0.649809
359,10.501620,1.000000,1.000000,377,12.859900,0.652269
360,10.501900,1.000000,1.000000,377,12.863260,0.652445
361,10.544520,1.000000,1.000000,377,12.900260,0.654378
362,10.588170,1.000000,1.000000,377,12.947280,0.656836
363,10.588440,1.000000,1.000000,377,12.950630,0.657012
364,10.632080,1.000000,1.000000,377,12.987600,0.658945
365,10.675390,1.000000,1.000000,377,13.034580,0.661402
366,10.675670,1.000000,1.000000,377,13.037930,0.661577
367,10.718520,1.000000,1.000000,377,13.074870,0.663511
368,10.762410,1.000000,1.000000,377,13.121780,0.665966
369,10.762750,1.000000,1.000000,377,13.125120,0.666141
370,10.806650,1.000000,1.000000,377,13.162000,0.668072
371,10.850290,1.000000,1.000000,377,13.208900,0.670528
372,10.850560,1.000000,1.000000,377,13.212240,0.670704
373,10.893250,1.000000,1.000000,377,13.249060,0.672633
374,10.936840,1.000000,1.000000,377,13.295910,0.675089
375,10.937110,1.000000,1.000000,377,13.299260,0.675264
376,10.980940,1.000000,1.000000,377,13.336050,0.677193
377,11.024580,1.000000,1.000000,377,13.382840,0.679647
378,11.024840,1.000000,1.000000,377,13.386180,0.679823
379,11.067990,1.000000,1.000000,377,13.422940,0.681751
380,11.112060,1.000000,1.000000,377,13.473040,0.684381
381,11.112340,1.000000,1.000000,377,13.476370,0.684556
382,11.156410,1.000000,1.000000,377,13.509760,0.686309
383,11.199680,1.000000,1.000000,377,13.559790,0.688936
384,11.199960,1.000000,1.000000,377,13.563120,0.689111
385,11.242900,1.000000,1.000000,377,13.599810,0.691039
386,11.286970,1.000000,1.000000,377,13.646440,0.693490
387,11.287240,1.000000,1.000000,377,13.649770,0.693665
