time,elapsed,host,local,round,held,charge,spin,torso,arm,shoeState,shoeSpin,bodyX,bodyZ
20.5452,9.3868,0,2,1,1,1.0000,-0.7000,-16.000,-58.442,1,0.0000,-4.2809,8.5038
20.5961,9.4376,0,2,1,1,1.0000,-0.7000,-16.000,-58.442,1,0.0000,-4.2809,8.5038
20.6468,9.4883,0,2,1,1,1.0000,-0.7000,-16.000,-58.442,1,0.0000,-4.2809,8.5038
20.6974,9.5389,0,2,1,1,1.0000,-0.7000,-16.000,-58.442,1,0.0000,-4.2809,8.5038
20.7481,9.5896,0,2,1,1,1.0000,-0.7000,-16.000,-58.442,1,0.0000,-4.2809,8.5038
20.7988,9.6404,0,2,1,1,1.0000,-0.7000,-16.000,-58.442,1,0.0000,-4.2809,8.5038
20.8497,9.6912,0,2,1,1,1.0000,-0.7000,-16.000,-58.442,1,0.0000,-4.2809,8.5038
20.9004,9.7419,0,2,1,1,1.0000,-0.7000,-16.000,-58.442,1,0.0000,-4.2809,8.5038
20.9512,9.7927,0,2,1,1,1.0000,-0.7000,-16.000,-58.442,1,0.0000,-4.2809,8.5038
21.0021,9.8436,0,2,1,1,1.0000,-0.7000,-16.000,-58.442,1,0.0000,-4.2809,8.5038
21.0529,9.8944,0,2,1,1,1.0000,-0.7000,-16.000,-58.442,1,0.0000,-4.2809,8.5038
21.1035,9.9450,0,2,1,1,1.0000,-0.7000,-16.000,-58.442,1,0.0000,-4.2809,8.5038
21.1536,9.9951,0,2,1,1,1.0000,-0.7000,-16.000,-58.442,1,0.0000,-4.2809,8.5038
21.2041,10.0456,0,2,1,1,1.0000,-0.7000,-16.000,-58.442,1,0.0000,-4.2809,8.5038
21.2542,10.0958,0,2,1,1,1.0000,0.8000,-16.000,-58.442,1,0.0000,-4.2809,8.5038
21.3043,10.1459,0,2,1,1,1.0000,0.8000,-16.000,-58.442,1,0.0000,-4.2809,8.5038
21.3551,10.1966,0,2,1,1,1.0000,0.8000,-16.000,-58.442,1,0.0000,-4.2809,8.5038
21.4056,10.2471,0,2,1,1,1.0000,0.8000,-16.000,-58.442,1,0.0000,-4.2809,8.5038
21.4557,10.2973,0,2,1,1,1.0000,0.8000,-16.000,-58.442,1,0.0000,-4.2809,8.5038
21.5068,10.3483,0,2,1,1,1.0000,0.8000,-16.000,-58.442,1,0.0000,-4.2809,8.5038
21.5581,10.3997,0,2,1,1,1.0000,0.8000,-16.000,-58.442,1,0.0000,-4.2809,8.5038
21.6085,10.4500,0,2,1,1,1.0000,0.8000,-16.000,-58.442,1,0.0000,-4.2809,8.5038
21.6593,10.5008,0,2,1,1,1.0000,0.8000,-16.000,-58.442,1,0.0000,-4.2809,8.5038
21.7094,10.5510,0,2,1,1,1.0000,0.8000,-16.000,-58.442,1,0.0000,-4.2809,8.5038
21.7615,10.6031,0,2,1,1,1.0000,0.8000,-16.000,-58.442,1,0.0000,-4.2809,8.5038
21.8120,10.6536,0,2,1,1,1.0000,0.8000,-16.000,-58.442,1,0.0000,-4.2809,8.5038
21.8625,10.7040,0,2,1,1,1.0000,0.8000,-16.000,-58.442,1,0.0000,-4.2809,8.5038
21.9137,10.7553,0,2,1,1,1.0000,0.8000,-16.000,-58.442,1,0.0000,-4.2809,8.5038
21.9648,10.8063,0,2,1,1,1.0000,0.8000,-16.000,-58.442,1,0.0000,-4.2809,8.5038
22.0154,10.8569,0,2,1,1,1.0000,0.8000,-16.000,-58.442,1,0.0000,-4.2809,8.5038
22.0660,10.9075,0,2,1,1,1.0000,0.8000,-16.000,-58.442,1,0.0000,-4.2809,8.5038
22.1166,10.9581,0,2,1,1,1.0000,0.8000,-16.000,-58.442,1,0.0000,-4.2809,8.5038
22.1680,11.0095,0,2,1,1,1.0000,0.8000,-16.000,-58.442,1,0.0000,-4.2809,8.5038
22.2184,11.0599,0,2,1,1,1.0000,0.8000,-16.000,-58.442,1,0.0000,-4.2809,8.5038
22.2687,11.1103,0,2,1,1,1.0000,0.8000,-16.000,-58.442,1,0.0000,-4.2809,8.5038
22.3195,11.1610,0,2,1,1,1.0000,0.8000,-16.000,-58.442,1,0.0000,-4.2809,8.5038
22.3697,11.2113,0,2,1,1,1.0000,0.8000,-16.000,-58.442,1,0.0000,-4.2809,8.5038
22.4205,11.2620,0,2,1,1,1.0000,0.8000,-16.000,-58.442,1,0.0000,-4.2809,8.5038
22.4715,11.3131,0,2,1,1,1.0000,0.8000,-16.000,-58.442,1,0.0000,-4.2809,8.5038
22.5216,11.3631,0,2,1,1,1.0000,0.8000,-16.000,-58.442,1,0.0000,-4.2809,8.5038
22.5716,11.4131,0,2,1,1,1.0000,0.8000,-16.000,-58.442,1,0.0000,-4.2809,8.5038
22.6217,11.4632,0,2,1,1,1.0000,0.8000,-16.000,-58.442,1,0.0000,-4.2809,8.5038
22.6722,11.5138,0,2,1,1,1.0000,0.8000,-16.000,-58.442,1,0.0000,-4.2809,8.5038
22.7226,11.5641,0,2,1,1,1.0000,0.8000,-16.000,-58.442,1,0.0000,-4.2809,8.5038
